"year" "miami" "group" "count" "pop" "grade" "n_unem" "pop_unem" "n_emp" "pop_emp" "urate" "n_earn" "pop_earn" "log_earn" "earnwk" "uhours"
"24" 1981 1 1 548 364569.169759115 12.9341414617407 17 10668.7767333984 395 263670.629882812 3.88889691969174 347 233107.773111979 1.83740551562882 284.015251346765 38.4755043227666
"25" 1981 1 2 373 267492.645039876 11.3782222463449 25 18804.5049235026 244 176847.664123535 9.6111916443828 229 167017.162455241 1.62240988382238 210.980140943514 38.2751091703057
"26" 1981 1 3 20 14470.055094401 12.3341771300248 2 1344.74332682292 15 10630.247639974 11.2295978389587 13 9517.88427734375 1.62838413327304 222.881057268722 39.8461538461538
"27" 1981 1 4 595 371964.509063721 10.4905197631369 44 27233.521697998 384 241887.919087728 10.1194173227102 330 208895.311462402 1.52146878389764 197.224202376185 38.2212121212121
"28" 1981 1 5 173 117103.038065592 11.1480289720974 14 9358.75919596354 104 69879.3407185872 11.8109333843894 95 64009.7332560221 1.54670578841058 201.680176211454 37.821052631579
"29" 1982 0 1 8160 5376673.8815918 13.2009437923451 442 285674.760986328 5924 3898287.6013387 6.82785207531308 5129 3368197.45188395 1.91659284328345 314.409480373503 38.9044648079548
"30" 1982 0 2 1957 1298629.11769613 12.1257873907867 179 121244.533589681 1246 834721.513020833 12.682933041353 1185 798029.541300456 1.71444037452091 242.887822676807 38.3924050632911
"31" 1982 0 3 788 498318.79884847 13.3462681060317 47 29273.0547892253 515 325307.161946615 8.2556931852274 449 285411.502075195 1.80521235986907 274.283486343841 37.1492204899777
"32" 1982 0 4 94 58349.380859375 11.6293966608728 8 4936.98999023438 59 36999.5875651042 11.7725152552557 45 28068.5400390625 1.70762864709613 224.215319574157 37.5555555555556
"33" 1982 0 5 2616 1684515.65771484 9.58796879976667 221 144481.335652669 1614 1045891.09578451 12.137490069241 1495 971311.313151042 1.6083944890349 219.392180322047 38.1946488294314
"34" 1982 1 1 528 351168.843688965 13.1924545425336 21 13713.2499593099 376 250295.606282552 5.19423861552092 318 211841.677164714 1.82549656152006 280.327761933043 39.314465408805
"35" 1982 1 2 383 266579.864054362 11.0549886986154 42 29401.091796875 215 154569.374084473 15.9814194392688 206 148386.101542155 1.51284782087002 193.798665426348 38.7378640776699
"36" 1982 1 3 26 16840.2199707031 12.4843379480093 1 581.521647135417 15 9112.66158040365 5.99866573063567 12 7533.90161132812 1.64550006689843 208.939121411276 36.5833333333333
"37" 1982 1 4 552 345326.667093913 10.4052846145425 45 27671.9498087565 355 227624.173278809 10.8391578665945 293 190014.04494222 1.52310848701992 196.475482933383 38.4846416382253
"38" 1982 1 5 184 124258.859822591 11.3413229430894 12 8179.07165527344 121 82118.8847249349 9.05787017021145 108 73205.5155436198 1.56509946704375 214.559206733541 38.7777777777778
"39" 1983 0 1 7984 5420038.57202148 13.2750560413786 441 288890.664591471 5783 3923878.91739909 6.85749977464869 4959 3368308.96594238 1.90344847323782 313.540521012247 39.1264367816092
"40" 1983 0 2 1862 1287655.27775065 12.1521164879892 243 170835.586771647 1090 758984.715047201 18.3729680280664 1045 728483.852539062 1.69860827856543 237.0666008184 37.6545454545455
"41" 1983 0 3 924 608854.03133138 13.2255546383257 50 33272.5343424479 574 378497.936442057 8.08035949713856 488 323450.646565755 1.85024734220532 280.099709378983 37.2889344262295
"42" 1983 0 4 99 60553.5892333984 11.5887587127107 4 2328.87337239583 74 45039.5142822266 4.91651391931761 66 40206.9268391927 1.54389157718895 199.839527987651 37.7727272727273
"43" 1983 0 5 2567 1698320.06315104 9.64553317658923 221 143436.512898763 1559 1041914.82283529 12.1007593761167 1455 973619.763712565 1.6031090054908 217.945502703998 38.1896907216495
"44" 1983 1 1 597 399391.361602783 13.2789882176049 33 20908.3197835286 430 289519.599721273 6.73532194426386 354 238744.380523682 1.83465054838989 290.764555974614 39.2542372881356
"45" 1983 1 2 340 226893.909495036 10.7339469117443 45 29435.4241129557 189 130289.459340413 18.428828042657 183 126209.404408773 1.46271351272877 184.162645218945 37.8524590163934
"46" 1983 1 4 531 343547.605173747 10.8262856171949 55 35356.7416788737 363 235251.819061279 13.06564048904 317 205707.66901652 1.50252075886886 192.951759541952 38.1892744479495
"47" 1983 1 5 218 149589.454589844 11.4734079673896 13 8022.98917643229 145 99486.3271484375 7.46259901066486 136 93476.6005452474 1.4813809010661 201.429920359565 37.9779411764706
"48" 1984 0 1 8273 5521945.37422689 13.3959700628791 362 233324.521016439 6150 4101099.26936849 5.38305740970746 5256 3508430.82889811 1.91602289240841 322.047769318572 39.5837138508371
"49" 1984 0 2 1925 1358467.64029948 12.2540703706688 171 118431.840372721 1207 863732.13273112 12.0582554049964 1166 833352.662068685 1.68240081454984 243.127622727521 38.458833619211
"50" 1984 0 3 978 609495.654012044 13.4597191159919 49 29089.2150472005 619 383657.710876465 7.04771210157489 530 324962.822550456 1.84580073677968 281.011294069128 37.8094339622642
"51" 1984 0 4 99 61003.2100423177 11.6503797030725 8 4915.6357421875 67 40648.0409342448 10.7884966726798 56 34187.4909261068 1.61728450550714 228.672774027644 39.5178571428571
"52" 1984 0 5 2896 1787050.68098958 9.94081709774121 208 124144.794230143 1833 1140889.14420573 9.81355443978363 1702 1059937.49173991 1.60618075776904 221.516400808171 38.219741480611
"53" 1984 1 1 565 377605.068725586 13.3396904468106 16 10459.1883951823 423 278538.21887207 3.61912879914181 341 225352.519002279 1.8298496177957 291.411468717096 39.058651026393
"54" 1984 1 2 343 233504.525878906 11.0834394484543 34 22792.1100667318 201 138016.473185221 14.1734412466164 191 132017.341552734 1.59817408678042 207.827512912297 37.9685863874346
"55" 1984 1 4 502 327305.058339437 11.390314438629 29 19601.7841389974 358 234946.903381348 7.7006031065985 300 198509.381825765 1.52839625211947 206.372716168435 39.0866666666667
"56" 1984 1 5 252 175437.899902344 11.7461835358841 22 15471.0491943359 161 112500.565897624 12.0894381017373 142 99322.6674194336 1.58361187050871 220.021740213056 38.4154929577465
"57" 1985 0 1 4413 2717189.35455322 13.4662882490872 183 105903.108622233 3343 2067255.63509115 4.87323390104818 2870 1780419.67989095 1.92641183773953 321.694272174964 39.1801393728223
"58" 1985 0 2 985 689541.752360026 12.2690996065293 93 68548.8491414388 628 446736.966389974 13.3030731829372 585 420506.067281087 1.64389917115018 235.77506989872 38.0820512820513
"59" 1985 0 3 505 278617.060709635 13.8212447515777 22 12699.1616414388 336 183453.435038249 6.4741236447541 278 151280.840026855 1.83838129141092 281.449472823975 38.0647482014388
"60" 1985 0 4 68 45039.6932576497 11.945657740574 6 3925.18833414714 44 29355.1192626953 11.7943270888504 34 23490.4025472005 1.73449568760168 237.522583707598 39.2058823529412
"61" 1985 0 5 1646 1048717.96561686 9.67008485278205 112 68209.8392944336 1040 672653.287353516 9.20680714709753 990 639972.028849284 1.57589473143154 213.88358444783 38.0707070707071
"62" 1985 1 1 317 188997.021647135 13.5804289736102 12 7092.05834960938 228 136228.334879557 4.94839442581581 190 113837.642333984 1.80999268872192 300.487405665 40.6631578947368
"63" 1985 1 2 215 141195.080566406 10.5375221036087 10 7034.1416015625 123 83367.0509033203 7.7810274473786 115 78233.4158935547 1.61127660788557 213.62290772677 39.0260869565217
"64" 1985 1 3 8 5389.78002929688 15.1246118787007 1 496.345825195312 6 4029.92500813802 10.9658887740437 5 3412.20251464844 1.81052380964929 339.330850403476 46
"65" 1985 1 4 234 160948.478302002 10.8817716036727 10 6923.10982259115 170 119493.409851074 5.47642811276772 147 103290.046447754 1.50873230852783 205.747433672414 39.3741496598639
"66" 1985 1 5 138 99550.5399576823 11.3641722539163 4 2525.22668457031 90 66314.3759358724 3.66827609173388 78 57003.1269124349 1.53276763495669 202.406325104649 36.8205128205128
